Exit,Highway,County,Total_Accidents,Avg_Latitude,Avg_Longitude,County_old
11,134,2,219,34.1490014612,-118.177125753,8
09A,134,2,52,34.1632571154,-118.218564423,8
07B,134,2,507,34.1702309665,-118.240469487,8
09B,134,2,423,34.145886643,-118.20824305,8
07A,134,2,247,34.1584044534,-118.261822551,8
11A,170,2,132,34.2321658333,-118.412798106,8
08C,170,2,443,34.2034122573,-118.40132912,8
06B,170,2,277,34.1688798917,-118.385725451,8
07,170,2,276,34.1777311594,-118.394332391,8
05B,170,2,143,34.16019,-118.383866224,8
09C,170,2,551,34.2156351543,-118.402818475,8
10,170,2,178,34.2153686517,-118.414678652,8
08A,170,2,305,34.1820151148,-118.39366918,8
06A,170,2,362,34.164344337,-118.380991657,8
86,198,35,32,36.3186465625,-119.63802625,36
110,198,24,16,36.326844375,-119.21742625,29
87A,198,35,11,36.31493,-119.662177273,36
101,198,24,63,36.321551746,-119.397906984,29
79,198,35,42,36.2941328571,-119.761821667,36
84,198,35,84,36.3298357143,-119.610562619,36
73,198,35,2,36.383985,-119.6298,36
81,198,35,95,36.315044,-119.703513158,36
105A,198,24,71,36.3246861972,-119.329325211,29
105B,198,24,109,36.3294734862,-119.295173486,29
87B,198,35,41,36.3216946341,-119.620443415,36
107B,198,24,64,36.3294735938,-119.264764062,29
77,198,35,32,36.2955096875,-119.777770937,36
107A,198,24,63,36.3268925397,-119.28723619,29
83,198,35,70,36.3116731429,-119.676276571,36
85,198,35,80,36.31586625,-119.656650625,36
108,198,24,47,36.3257291489,-119.247657021,29
02,205,0,58,37.6505494828,-121.49713931,6
08,205,0,199,37.7483482915,-121.420618643,6
06,205,0,226,37.7581808407,-121.469213451,6
04,205,0,198,37.7243969192,-121.47096803,6
22,215,16,163,33.834007362,-117.264610982,22
27B,215,16,254,33.8867705906,-117.296765,22
18,215,16,60,33.7751781667,-117.236395333,22
10,215,16,184,33.6888379891,-117.172906413,22
01,215,16,199,33.558269196,-117.186647839,22
25,215,16,206,33.8662574757,-117.273927913,22
19,215,16,282,33.7908845745,-117.244460957,22
27A,215,16,157,33.8927117197,-117.275618025,22
29,215,16,238,33.9591016387,-117.306539118,22
04,215,16,255,33.5979464706,-117.181701608,22
02,215,16,175,33.6259666857,-117.183046057,22
23,215,16,206,33.8810758738,-117.279164223,22
07,215,16,276,33.6559068478,-117.177215362,22
28,215,16,189,33.924954709,-117.281922169,22
36,280,18,25,37.4732832,-122.3659232,0
34,280,18,28,37.5256517857,-122.3592575,0
47A,280,18,159,37.5994445283,-122.454097799,0
01B,280,17,388,37.3260000258,-121.851947036,23
52,280,30,110,37.6533575455,-122.414864545,33
56,280,30,43,37.708792093,-122.369571628,33
54B,280,30,83,37.7031674699,-122.378664096,33
42,280,18,93,37.5431280645,-122.412196774,0
53,280,30,195,37.6790261538,-122.394444974,33
40,280,18,2,37.595225,-122.41824,0
05A,280,17,829,37.2977392521,-121.910381037,23
46,280,18,60,37.6318746667,-122.440719333,0
04,280,17,43,37.30661,-121.869437907,23
55,280,30,56,37.6460360714,-122.372899464,33
50,280,30,225,37.6721562222,-122.426698667,33
48,280,18,64,37.5909221875,-122.449817031,0
43B,280,18,177,37.5784811299,-122.43097322,0
24,280,18,104,37.41745375,-122.207722019,0
41,280,18,40,37.611437,-122.42650575,0
47B,280,18,43,37.6005090698,-122.46284814,0
39,280,18,12,37.5259108333,-122.366595833,0
51,280,30,106,37.7055679245,-122.432063491,33
43A,280,18,48,37.6126779167,-122.40619375,0
25,280,18,30,37.424517,-122.250868667,0
03B,280,17,639,37.3164726291,-121.889613099,23
33,280,18,39,37.4566976923,-122.271181026,0
45,280,18,156,37.5705511538,-122.430320321,0
01A,280,17,562,37.3302818149,-121.839652829,23
03A,280,17,156,37.3229237821,-121.895845385,23
44,280,18,58,37.6210468966,-122.430874828,0
02A,280,17,364,37.3210991484,-121.860324863,23
58B,680,36,24,38.0998391667,-122.173878333,37
18B,680,19,261,37.5374111494,-121.854256092,24
02B,680,17,267,37.3757080899,-121.832653071,23
01B,680,17,70,37.3497814286,-121.803751857,23
25,680,19,146,37.6518058219,-121.866180137,24
38,680,1,96,37.791151875,-121.977169583,7
14,680,19,164,37.4745695122,-121.915816037,24
49B,680,1,34,37.9396408824,-122.063634118,7
31,680,1,215,37.7277367442,-121.942705023,7
48,680,1,12,37.9074741667,-122.06128,7
39,680,1,16,37.803745625,-121.92105125,7
04,680,17,140,37.3779685,-121.831152571,23
05,680,17,272,37.3883268015,-121.862565257,23
34,680,1,156,37.7646857692,-121.959601026,7
21A,680,19,65,37.5352456923,-121.855379846,24
36,680,1,409,37.7726630562,-121.976737457,7
61,680,36,59,38.1263477966,-122.101217458,37
22,680,19,184,37.6111981522,-121.858987174,24
65,680,36,89,38.179888427,-122.121610112,37
12,680,19,332,37.4716090964,-121.910288614,24
49A,680,1,18,37.9424905556,-122.059860556,7
0-,680,19,189,37.4632104233,-121.899511217,24
08,680,17,133,37.43678,-121.882796917,23
60,680,36,47,38.0891614894,-122.116193617,37
40,680,1,15,37.83187,-122.004112,7
42,680,1,47,37.8578157447,-122.031283191,7
18A,680,19,126,37.5533201587,-121.889549683,24
16,680,19,146,37.540175411,-121.894478356,24
06,680,17,239,37.4000698745,-121.863701841,23
20,680,19,151,37.5720198013,-121.874973444,24
01C,680,17,104,37.3667203846,-121.818009231,23
01A,680,17,482,37.3395301452,-121.819982739,23
41,680,1,43,37.871885814,-122.005985349,7
43,680,1,53,37.8703277358,-122.041536604,7
63,680,36,63,38.1321903175,-122.116939524,37
26,680,19,205,37.6549665366,-121.906082878,24
21B,680,19,53,37.6275473585,-121.853567358,24
58A,680,36,25,38.0615768,-122.1286528,37
02A,680,17,328,37.3712324695,-121.816647774,23
15,680,19,12,37.5987091667,-121.892714167,24
