Exit,Highway,County,Total_Accidents,Avg_Latitude,Avg_Longitude,County_old
183,5,2,412,34.6220854854,-118.716419272,8
463,5,0,190,37.8394895789,-121.287611632,6
51A,5,5,206,33.169654466,-117.339207379,11
467A,5,0,64,37.875719375,-121.2770975,6
461,5,0,196,37.7951646429,-121.300307602,6
741,5,3,38,41.3584184211,-122.359963684,9
575,5,7,33,38.8998778788,-122.158330303,13
673,5,4,28,40.5150639286,-122.338484286,10
15B,5,5,111,32.7150540541,-117.146932973,11
677,5,4,32,40.547890625,-122.353447812,10
23B,5,5,306,32.8190228758,-117.226260098,11
766,5,3,2,41.66145,-122.587345,9
71,5,5,87,33.3833418391,-117.573623103,11
19,5,5,230,32.7755432609,-117.207637435,11
12,5,5,154,32.6858427922,-117.142619675,11
198B,5,2,36,34.8110769444,-118.775538611,8
631,5,9,37,39.9170581081,-122.200227568,15
457,5,0,21,37.7546652381,-121.342385238,6
619,5,6,28,39.7368578571,-122.184652857,12
743,5,3,40,41.41318575,-122.38071125,9
748,5,3,14,41.4091885714,-122.401207857,9
54A,5,5,71,33.1998559155,-117.371988169,11
37,5,5,189,33.0175382011,-117.257896508,11
11B,5,5,158,32.6765044937,-117.10951981,11
704,5,4,21,40.9226833333,-122.312643333,10
20,5,5,154,32.7627922078,-117.211427922,11
566,5,7,85,38.9815817647,-122.041753059,13
01A,5,5,161,32.575078882,-117.048119876,11
172,5,2,164,34.4465773171,-118.613255427,8
40,5,5,70,33.0337822857,-117.278031,11
15A,5,5,184,32.7333807609,-117.148477065,11
633,5,9,52,39.9692567308,-122.196879423,15
30,5,5,9,32.9054766667,-117.226284444,11
595,5,6,53,39.4272109434,-122.189220755,12
27,5,5,94,32.8496118085,-117.228324468,11
745,5,3,24,41.4083166667,-122.378699167,9
553,5,8,11,38.8567118182,-121.946554545,14
202,5,2,192,34.8198282292,-118.865840885,8
13B,5,5,232,32.7030965948,-117.138838578,11
689,5,4,6,40.7437683333,-122.315038333,10
159,5,2,347,34.2967758501,-118.475322968,8
776,5,3,24,41.7741841667,-122.57240625,9
43,5,5,127,33.095546378,-117.290008819,11
42,5,5,142,33.0586046479,-117.283512746,11
614,5,6,29,39.6678758621,-122.197323448,12
687,5,4,5,40.665514,-122.298552,10
642,5,9,54,40.1333583333,-122.220721852,15
569,5,7,81,39.0979065432,-122.111391111,13
171,5,2,184,34.4309031522,-118.58668625,8
54B,5,5,606,33.2610274422,-117.409902492,11
199,5,2,227,34.7997393392,-118.821316344,8
747,5,3,7,41.4177414286,-122.387105714,9
734,5,3,22,41.2726327273,-122.289548182,9
09,5,5,93,32.7271678495,-117.128357634,11
678,5,4,28,40.612325,-122.349534643,10
682,5,4,12,40.6125633333,-122.390396667,10
628,5,9,81,39.8309364198,-122.186015556,15
176B,5,2,465,34.545684086,-118.648597785,8
578,5,7,94,39.1793610638,-122.179047021,13
17B,5,5,69,32.76067,-117.17900971,11
37,14,2,209,34.6255252632,-118.160473876,8
41,14,2,98,34.6605164286,-118.153675,8
33,14,2,139,34.5712720144,-118.137200216,8
26,14,2,151,34.4743625828,-118.16519404,8
30,14,2,201,34.5298106965,-118.128758507,8
44,14,2,19,34.6971226316,-118.166956842,8
61,14,11,19,35.0796073684,-118.159831579,17
40,14,2,86,34.6529737209,-118.162267093,8
43,14,2,55,34.6877387273,-118.168790727,8
55,14,11,129,34.8801930233,-118.184455349,17
03,14,2,239,34.4018707113,-118.478911967,8
47,14,2,40,34.763076,-118.18619225,8
42,14,2,47,34.6727357447,-118.177990426,8
49,14,2,82,34.7954956098,-118.169309024,8
24,14,2,191,34.4913158639,-118.192163298,8
05,14,2,254,34.4031499213,-118.448647441,8
02,14,2,852,34.3625630986,-118.494247312,8
46,14,2,20,34.738061,-118.1703795,8
27,14,2,376,34.4951956383,-118.138370824,8
06A,14,2,15,34.3983633333,-118.459385333,8
39,14,2,90,34.6424881111,-118.169558667,8
45,14,2,25,34.7247816,-118.1705212,8
22,14,2,267,34.4493317978,-118.313974307,8
35,14,2,228,34.5949735965,-118.136036272,8
58,14,11,15,34.9260006667,-118.162836667,17
14A,22,10,256,33.7604052344,-117.844456992,16
08,22,10,440,33.7762647273,-117.977715682,16
07,22,10,341,33.7693944282,-117.986572434,16
17A,22,10,21,33.7646547619,-117.782325714,16
13,22,10,1191,33.7682896054,-117.88278885,16
14B,22,10,405,33.7514731605,-117.844930198,16
02,22,10,261,33.7680898084,-118.044896245,16
12,22,10,968,33.778753936,-117.905103089,16
16,22,10,338,33.7388166864,-117.796484201,16
11,22,10,578,33.7926833045,-117.929895623,16
14D,22,10,325,33.7494990462,-117.834413938,16
15,22,10,214,33.8010284112,-117.827358318,16
10,22,10,337,33.7736813056,-117.953273353,16
0-,22,10,424,33.7805123585,-117.965187524,16
05,22,10,433,33.7828602079,-118.015485404,16
133,41,12,95,36.8265122105,-119.787463368,18
126A,41,12,61,36.7178685246,-119.775264918,18
127A,41,12,58,36.7339127586,-119.763389483,18
130,41,12,137,36.7830263504,-119.779134818,18
128,41,12,172,36.7593189535,-119.767327442,18
129,41,12,149,36.7599197315,-119.771100671,18
131,41,12,191,36.8147282723,-119.771202723,18
124,41,12,337,36.5517030267,-119.77395635,18
125,41,12,30,36.715303,-119.786793667,18
132,41,12,96,36.801176875,-119.766005312,18
134,41,12,72,36.8334211111,-119.775971528,18
127B,41,12,120,36.7105271667,-119.750648083,18
126B,41,12,10,36.701613,-119.747834,18
15,50,13,237,38.530971308,-121.276965823,19
13,50,13,337,38.5104903264,-121.312408635,19
54,50,14,38,38.7440260526,-120.643460263,20
06C,50,13,1865,38.5479711903,-121.458430815,19
06A,50,13,233,38.5476992275,-121.482839056,19
49B,50,14,90,38.7039443333,-120.806923556,20
37,50,14,73,38.6583453425,-120.903647123,20
04A,50,13,1105,38.5400912127,-121.499708235,19
39,50,14,32,38.6164365625,-120.867701562,20
41,50,14,54,38.6930035185,-120.880993519,20
43,50,14,80,38.712821,-120.85929125,20
08B,50,13,397,38.5372727204,-121.427986096,19
11,50,13,552,38.493763279,-121.325565471,19
35,50,14,121,38.6480381818,-120.916385124,20
57,50,14,31,38.6932512903,-120.586932903,20
09,50,13,847,38.5328349469,-121.40413961,19
05,50,13,986,38.5394673732,-121.484206014,19
30,50,14,88,38.6186894318,-121.034942386,20
08A,50,13,331,38.5420135347,-121.436918671,19
40,50,14,36,38.6842388889,-120.923494722,20
13,57,2,374,33.9891890642,-117.846659465,8
22D,57,2,243,34.0892867901,-117.81843963,8
15,57,2,890,34.0013363258,-117.83325936,8
21,57,2,19,34.0688010526,-117.813546842,8
24A,57,2,118,34.104680678,-117.81574678,8
0-,57,2,230,33.9711702609,-117.846057304,8
22C,57,2,210,34.0719362381,-117.805198952,8
14,57,2,487,34.0075249076,-117.83430386,8
20,57,2,258,34.0573466667,-117.800063062,8
24B,57,2,395,34.1213552152,-117.820530456,8
172,58,11,46,34.9602021739,-117.959894348,17
116,58,11,61,35.3371968852,-118.942804426,17
117,58,11,50,35.3449066,-118.868658,17
159,58,11,16,35.110259375,-118.24484,17
119,58,11,38,35.3507410526,-118.864206842,17
151,58,11,116,35.1135430172,-118.380946724,17
188,58,11,14,34.9427892857,-117.824279286,17
112,58,11,261,35.3492582375,-118.989210996,17
149,58,11,17,35.1353617647,-118.430592353,17
113,58,11,169,35.3522415385,-119.008960651,17
156,58,11,29,35.131147931,-118.305904483,17
148,58,11,22,35.0908122727,-118.448639091,17
142,58,11,129,35.169036124,-118.488722016,17
139,58,11,61,35.2321911475,-118.589299508,17
115,58,11,45,35.3647002222,-118.959695111,17
196,58,11,17,35.0095329412,-117.657774118,17
186,58,11,23,35.0259030435,-117.819673913,17
110A,58,11,225,35.3384682222,-119.019168756,17
121,58,11,16,35.335828125,-118.828003125,17
111,58,11,241,35.3535029461,-119.019593651,17
194,58,11,3,35.0060533333,-117.737546667,17
114,58,11,65,35.3499096923,-118.984941231,17
195,58,11,5,35.006938,-117.716154,17
193,58,11,7,35.0055342857,-117.738982857,17
167,58,11,3,35.1072633333,-118.177233333,17
36,60,15,61,34.0329732787,-117.597897377,21
34,60,15,77,34.0340096104,-117.639212597,21
52B,60,16,165,33.987409697,-117.442574182,22
32,60,15,222,34.0401744595,-117.692484414,21
20,60,2,389,34.0133887404,-117.958866375,8
03B,60,2,467,34.0518023555,-118.192776531,8
01C,60,2,481,34.0454211227,-118.209104719,8
26,60,2,1028,34.0189418774,-117.78362677,8
03A,60,2,342,34.0484107018,-118.164679123,8
38,60,15,62,34.0276622581,-117.583542419,21
08,60,2,330,34.0686434848,-118.123771727,8
06B,60,2,567,34.0484677425,-118.124825362,8
21,60,2,806,34.0039591687,-117.853637333,8
25,60,2,93,34.0182913978,-117.812810323,8
24A,60,2,1328,33.9994178614,-117.813437605,8
53A,60,16,16,33.959209375,-117.32215,22
43,60,16,198,33.9906000505,-117.490179596,22
28,60,2,477,34.0185155556,-117.749028029,8
24B,60,2,1410,34.0111172979,-117.810679397,8
02,60,2,272,34.0364879044,-118.168595882,8
23,60,2,320,34.0034362813,-117.835336531,8
39,60,15,93,34.028154086,-117.566922258,21
41,60,16,234,33.9927987179,-117.523043504,22
04,60,2,312,34.0456054808,-118.175424776,8
37,60,15,64,34.0485326562,-117.599118125,21
06A,60,2,225,34.0396732889,-118.158390844,8
35,60,15,78,34.0327526923,-117.641757821,21
0-,60,16,161,33.9856489441,-117.538988634,22
45,60,16,139,34.0021333813,-117.463517842,22
33,60,15,115,34.0450553043,-117.665485739,21
29B,60,2,425,34.0319047765,-117.736090376,8
01E,60,2,171,34.043072807,-118.197115088,8
53B,60,16,111,33.9235272973,-117.23763018,22
42,60,16,196,33.976595102,-117.503359388,22
23,85,17,9,37.39505,-122.068783333,23
22C,85,17,12,37.3640875,-122.096739167,23
18,85,17,186,37.3314045699,-122.010322849,23
11B,85,17,349,37.2674879083,-121.961492006,23
20,85,17,133,37.3376708271,-122.041950677,23
22,85,17,31,37.374816129,-122.099686452,23
16,85,17,257,37.320313035,-121.991668482,23
24A,85,17,5,37.409866,-122.075088,23
09,85,17,12,37.0935008333,-121.89706,23
19A,85,17,109,37.3307470642,-122.014588716,23
14,85,17,227,37.2580189868,-121.970653084,23
11A,85,17,87,37.2572314943,-121.94702092,23
10,85,17,38,37.2589231579,-121.935030789,23
19B,85,17,203,37.3444761576,-122.015701379,23
21,91,10,1119,33.8550342538,-118.009031439,16
39,91,10,613,33.8807933442,-117.731999005,16
41,91,10,496,33.8618673387,-117.685807218,16
11,91,2,263,33.8784292776,-118.204488251,8
14B,91,2,266,33.8970882707,-118.141873797,8
33,91,10,279,33.8431430466,-117.901733297,16
14A,91,2,190,33.8671778421,-118.160949947,8
15A,91,2,259,33.872156834,-118.137691622,8
12B,91,2,546,33.8777750366,-118.177326282,8
44,91,16,1355,33.8644482804,-117.640442487,22
17,91,2,192,33.8780956771,-118.1047525,8
08,91,2,201,33.9033531841,-118.239336269,8
12A,91,2,196,33.8861433163,-118.194649439,8
06,91,2,244,33.829782418,-118.27801709,8
34,91,10,544,33.8315469669,-117.802482537,16
16,91,2,873,33.8814796564,-118.111899107,8
07B,91,2,305,33.8854153443,-118.252888328,8
35,91,10,1065,33.8622810798,-117.791885822,16
19A,91,2,340,33.8661808235,-118.070649529,8
40,91,10,273,33.8743882051,-117.70778315,16
07A,91,2,342,33.8506460819,-118.265710292,8
13,91,2,285,33.8720929123,-118.175042912,8
10A,91,2,621,33.8691716908,-118.21174182,8
23A,91,10,601,33.8625953744,-117.991802313,16
23B,91,10,640,33.8736370625,-117.970712156,16
19B,91,2,344,33.8775304942,-118.063287616,8
45,91,16,938,33.8778187846,-117.610171866,22
15B,91,2,322,33.8698754658,-118.13136972,8
17A,91,2,1430,33.8736457622,-118.095008608,8
10,91,2,177,33.887620452,-118.234815763,8
36,91,10,1128,33.8524016135,-117.757612296,16
19C,91,2,225,33.8835364,-118.059447956,8
18,91,2,675,33.875834163,-118.082449289,8
12,92,18,27,37.5593840741,-122.307912963,0
10,92,18,35,37.4833517143,-122.327094,0
24,92,19,247,37.6166480972,-122.123017692,24
11,92,18,27,37.5486011111,-122.317095926,0
14A,92,18,50,37.5477068,-122.2820608,0
09B,92,18,17,37.5287635294,-122.336987647,0
12C,92,18,51,37.5524819608,-122.300216275,0
13,92,18,42,37.5548147619,-122.290598571,0
25A,92,19,167,37.6255002395,-122.108837964,24
08,92,18,24,37.5298733333,-122.303050833,0
09A,92,18,9,37.4933855556,-122.31511,0
227,99,20,173,37.6451524855,-121.011500925,25
203,99,21,117,37.3655417094,-120.727564615,26
211,99,20,326,37.4634183129,-120.854099448,25
28,99,11,90,35.3637056667,-119.064563222,17
297,99,13,52,38.5447701923,-121.469397885,19
226B,99,20,258,37.6338071318,-120.991820814,25
215,99,20,164,37.5314839634,-120.897551341,25
223,99,20,324,37.6009370988,-120.975244846,25
196,99,21,52,37.3422076923,-120.592489808,26
156,99,22,101,36.9311682178,-120.049349109,27
319,99,23,34,38.9902638235,-121.455599412,28
226A,99,20,108,37.6360984259,-121.001807037,25
387B,99,23,2,39.19846,-121.63744,28
