Exit,Highway,County,Total_Accidents,Avg_Latitude,Avg_Longitude,County_old,Predicted_Accidents,Ratio
685,5,4,7,40.6612371429,-122.338415714,10,10.4601,0.669209663388
168,5,2,177,34.4027725989,-118.570605819,8,205.4208,0.861645948219
601,5,6,20,39.315898,-122.207247,12,22.7618,0.878665131932
460,5,0,252,37.7768811905,-121.317896984,6,225.5605,1.1172168886
607,5,6,26,39.3866130769,-122.208366154,12,26.0884,0.996611520829
668,5,4,28,40.4600739286,-122.294536071,10,24.693,1.13392459401
793,5,3,6,41.816625,-122.559255,9,7.5395,0.795808740633
170,5,2,119,34.4286698319,-118.588095294,8,147.2442,0.808181239057
702,5,4,5,40.9051,-122.38389,10,10.0497,0.497527289372
603,5,6,29,39.5497262069,-122.213569655,12,25.8538,1.12169197565
52,5,5,181,33.1948011602,-117.356478674,11,162.5359,1.11360013388
786,5,3,9,41.5776722222,-122.488751111,9,8.2447,1.09161036787
738,5,3,15,41.3203553333,-122.325703333,9,16.4356,0.91265302149
18B,5,5,248,32.7737079032,-117.19013004,11,237.8564,1.04264589895
667B,5,4,25,40.441716,-122.2799648,10,20.8185,1.20085500877
577,5,7,9,38.5558277778,-122.150334444,13,44.4898,0.202293559423
11A,5,5,59,32.6795723729,-117.115292373,11,96.0031,0.614563488054
169,5,2,277,34.4132018773,-118.580395632,8,282.6256,0.980095221381
26B,5,5,112,32.830491875,-117.231048036,11,148.2172,0.755647792564
53,5,5,122,33.195877541,-117.36159877,11,134.725,0.90554833921
45,5,5,154,33.1311348052,-117.310271234,11,149.6162,1.02930030304
48,5,5,188,33.1816893085,-117.347379096,11,192.2844,0.977718421255
636,5,9,44,40.045635,-122.220327727,15,43.0375,1.02236421725
736,5,3,4,41.259065,-122.275085,9,9.5137,0.420446303751
618,5,6,8,39.74580875,-122.1878425,12,19.3334,0.41379167658
219,5,11,56,34.9370885714,-118.882183036,17,93.0548,0.601795931
195,5,2,221,34.7354732127,-118.790322896,8,170.513,1.29608886126
465,5,0,152,37.8625481579,-121.278319671,6,131.1436,1.159034829
770,5,3,2,41.68331,-122.628895,9,2.474,0.808407437348
161B,5,2,392,34.327997449,-118.492282832,8,477.7611,0.820493757236
50,5,5,63,33.1766052381,-117.329670159,11,93.3953,0.674552145558
737,5,3,20,41.2997375,-122.314139,9,17.9081,1.11681306225
458B,5,0,240,37.7625197083,-121.332318375,6,193.1097,1.24281690666
44,5,5,227,33.0960791189,-117.29836978,11,193.2579,1.17459622608
753,5,3,7,41.5018185714,-122.466525714,9,8.1229,0.861761193662
161A,5,2,602,34.3196415781,-118.493257176,8,549.2142,1.09611149894
32,5,5,204,32.9609066176,-117.232138627,11,195.8541,1.04159167462
773,5,3,1,41.72023,-122.63774,9,2.7082,0.36924894764
692,5,4,12,40.7528,-122.304543333,10,14.1833,0.846065443162
167,5,2,234,34.4178002991,-118.561672778,8,239.2104,0.978218338333
775,5,3,2,41.737995,-122.346355,9,11.9972,0.166705564632
541,5,8,12,38.6976291667,-121.7704275,14,12.9821,0.924349681485
649,5,9,52,40.1872217308,-122.229665,15,44.7022,1.16325371011
467B,5,0,130,37.8767806154,-121.285542154,6,128.6278,1.01066798935
710,5,4,11,40.4902045455,-122.409483636,10,12.8912,0.853295271193
17,5,5,166,32.7692757229,-117.168808133,11,200.4653,0.828073487032
556,5,8,33,38.9007212121,-121.954039697,14,28.1025,1.17427275153
751,5,3,6,41.3945633333,-122.383725,9,10.5973,0.566181952007
681B,5,4,15,40.6237253333,-122.366349333,10,15.1303,0.991388141676
670,5,4,45,40.4951862222,-122.319263333,10,38.5008,1.16880688193
536,5,8,11,38.6789936364,-121.753153636,14,14.4561,0.760924454037
29,5,5,166,32.8825211446,-117.221450301,11,150.2113,1.10510993514
542,5,8,30,38.760587,-121.844089667,14,29.9894,1.00035345822
462,5,0,121,37.799472562,-121.289928843,6,138.1118,0.876101824754
554,5,8,16,38.870535625,-121.963243125,14,20.0039,0.799844030414
540,5,8,12,38.7085083333,-121.788361667,14,13.7907,0.87015162392
14A,5,5,12,32.7040183333,-117.1452575,11,70.174,0.171003505572
183,5,2,412,34.6220854854,-118.716419272,8,332.3381,1.2397013764
463,5,0,190,37.8394895789,-121.287611632,6,164.9066,1.15216734806
51A,5,5,206,33.169654466,-117.339207379,11,177.4714,1.16075040823
467A,5,0,64,37.875719375,-121.2770975,6,94.7757,0.675278578792
461,5,0,196,37.7951646429,-121.300307602,6,183.5665,1.06773294692
741,5,3,38,41.3584184211,-122.359963684,9,31.0847,1.22246635805
575,5,7,33,38.8998778788,-122.158330303,13,37.3628,0.883231449463
673,5,4,28,40.5150639286,-122.338484286,10,30.2581,0.925372049137
15B,5,5,111,32.7150540541,-117.146932973,11,117.8048,0.942236649101
677,5,4,32,40.547890625,-122.353447812,10,31.4589,1.01720021997
23B,5,5,306,32.8190228758,-117.226260098,11,225.4876,1.35705910214
766,5,3,2,41.66145,-122.587345,9,5.1257,0.390190608112
71,5,5,87,33.3833418391,-117.573623103,11,223.7642,0.388802140825
19,5,5,230,32.7755432609,-117.207637435,11,230.0288,0.999874798286
12,5,5,154,32.6858427922,-117.142619675,11,144.8408,1.06323632568
198B,5,2,36,34.8110769444,-118.775538611,8,74.7299,0.48173488791
631,5,9,37,39.9170581081,-122.200227568,15,36.4478,1.01515043432
457,5,0,21,37.7546652381,-121.342385238,6,92.5845,0.226819824053
619,5,6,28,39.7368578571,-122.184652857,12,27.353,1.02365371257
743,5,3,40,41.41318575,-122.38071125,9,31.8638,1.25534305387
748,5,3,14,41.4091885714,-122.401207857,9,12.8191,1.09212035166
54A,5,5,71,33.1998559155,-117.371988169,11,98.89,0.717969461017
37,5,5,189,33.0175382011,-117.257896508,11,187.9682,1.00548922637
11B,5,5,158,32.6765044937,-117.10951981,11,135.5991,1.16519947404
704,5,4,21,40.9226833333,-122.312643333,10,20.1439,1.04249921813
20,5,5,154,32.7627922078,-117.211427922,11,147.8208,1.04180196562
566,5,7,85,38.9815817647,-122.041753059,13,69.0498,1.23099560028
01A,5,5,161,32.575078882,-117.048119876,11,151.5675,1.0622329985
172,5,2,164,34.4465773171,-118.613255427,8,171.6152,0.955626308159
40,5,5,70,33.0337822857,-117.278031,11,94.5726,0.740172100587
15A,5,5,184,32.7333807609,-117.148477065,11,155.0724,1.186542544
633,5,9,52,39.9692567308,-122.196879423,15,46.7882,1.11139133371
30,5,5,9,32.9054766667,-117.226284444,11,83.8796,0.107296649006
595,5,6,53,39.4272109434,-122.189220755,12,40.887,1.29625553354
27,5,5,94,32.8496118085,-117.228324468,11,112.5877,0.834904700958
745,5,3,24,41.4083166667,-122.378699167,9,25.4109,0.944476582884
553,5,8,11,38.8567118182,-121.946554545,14,17.5634,0.62630242436
202,5,2,192,34.8198282292,-118.865840885,8,164.85,1.16469517743
13B,5,5,232,32.7030965948,-117.138838578,11,178.0502,1.3030033103
689,5,4,6,40.7437683333,-122.315038333,10,11.4412,0.524420515331
159,5,2,347,34.2967758501,-118.475322968,8,378.8283,0.915982253702
776,5,3,24,41.7741841667,-122.57240625,9,16.3934,1.46400380641
43,5,5,127,33.095546378,-117.290008819,11,146.1759,0.868816268619
42,5,5,142,33.0586046479,-117.283512746,11,133.3047,1.06522875788
614,5,6,29,39.6678758621,-122.197323448,12,29.3664,0.987523155715
687,5,4,5,40.665514,-122.298552,10,8.9431,0.559090248348
642,5,9,54,40.1333583333,-122.220721852,15,43.759,1.2340318563
569,5,7,81,39.0979065432,-122.111391111,13,67.3071,1.20343916169
171,5,2,184,34.4309031522,-118.58668625,8,172.1876,1.06860192023
